"id","name","team","league","year"
"1","Verlander","Detroit Tigers","American","2011"
"2","Braun","Milwaukee Brewers","National","2011"
"3","Cabrera","Detroit Tigers","American","2012"
"4","Posey","San Francisco Giants","National","2012"
"5","Cabrera","Detroit Tigers","American","2013"
"6","McCutchen","Pittsburgh Pirates","National","2013"
"7","Trout","Los Angeles Angels","American","2014"
"8","Kershaw","Los Angeles Dodgers","National","2014"
"9","Donaldson","Toronto Blue Jays","American","2015"
"10","Harper","Washington Nationals","National","2015"
"11","Trout","Los Angeles Angels","American","2016"
"12","Bryant","Chicago Cubs","National","2016"
"13","Altuve","Houston Astros","American","2017"
"14","Stanton","Miami Marlins","National","2017"
"15","Betts","Boston Red Sox","American","2018"
"16","Yelich","Milwaukee Brewers","National","2018"
"17","Trout","Los Angeles Angels","American","2019"
"18","Bellinger","Los Angeles Dodgers","National","2019"
"19","Abreu","Chicago White Sox","American","2020"
"20","Freeman","Atlanta Braves","National","2020"